username,repo_name,stars,repo_url
mrdoob,three.js,95200,https://github.com/mrdoob/three.js
pmndrs,react-three-fiber,24100,https://github.com/pmndrs/react-three-fiber
libgdx,libgdx,22100,https://github.com/libgdx/libgdx
BabylonJS,Babylon.js,21500,https://github.com/BabylonJS/Babylon.js
ssloy,tinyrenderer,18100,https://github.com/ssloy/tinyrenderer
lettier,3d-game-shaders-for-beginners,16200,https://github.com/lettier/3d-game-shaders-for-beginners
aframevr,aframe,15700,https://github.com/aframevr/aframe
FreeCAD,FreeCAD,15500,https://github.com/FreeCAD/FreeCAD
CesiumGS,cesium,11100,https://github.com/CesiumGS/cesium
MonoGame,MonoGame,10200,https://github.com/MonoGame/MonoGame
metafizzy,zdog,10000,https://github.com/metafizzy/zdog
blender,blender,9800,https://github.com/blender/blender
isl-org,Open3D,9600,https://github.com/isl-org/Open3D
timzhang642,3D-Machine-Learning,9200,https://github.com/timzhang642/3D-Machine-Learning
a1studmuffin,SpaceshipGenerator,7500,https://github.com/a1studmuffin/SpaceshipGenerator
nerfstudio-project,nerfstudio,6900,https://github.com/nerfstudio-project/nerfstudio
domlysz,BlenderGIS,6800,https://github.com/domlysz/BlenderGIS
FyroxEngine,Fyrox,6700,https://github.com/FyroxEngine/Fyrox
google,model-viewer,6100,https://github.com/google/model-viewer
openscad,openscad,6000,https://github.com/openscad/openscad
