username,repo_name,stars,repo_url
public-apis,public-apis,261000,https://github.com/public-apis/public-apis
neovim,neovim,70300,https://github.com/neovim/neovim
tiangolo,fastapi,63700,https://github.com/tiangolo/fastapi
strapi,strapi,56900,https://github.com/strapi/strapi
hoppscotch,hoppscotch,55800,https://github.com/hoppscotch/hoppscotch
ocornut,imgui,51200,https://github.com/ocornut/imgui
meilisearch,meilisearch,39400,https://github.com/meilisearch/meilisearch
slatedocs,slate,35500,https://github.com/slatedocs/slate
Kong,insomnia,30900,https://github.com/Kong/insomnia
hasura,graphql-engine,30200,https://github.com/hasura/graphql-engine
httpie,cli,29800,https://github.com/httpie/cli
ccxt,ccxt,29300,https://github.com/ccxt/ccxt
Binaryify,NeteaseCloudMusicApi,29300,https://github.com/Binaryify/NeteaseCloudMusicApi
trpc,trpc,29300,https://github.com/trpc/trpc
YMFE,yapi,26600,https://github.com/YMFE/yapi
encode,django-rest-framework,26500,https://github.com/encode/django-rest-framework
littlecodersh,ItChat,24300,https://github.com/littlecodersh/ItChat
directus,directus,23500,https://github.com/directus/directus
microsoft,api-guidelines,21900,https://github.com/microsoft/api-guidelines
shieldfy,API-Security-Checklist,21500,https://github.com/shieldfy/API-Security-Checklist
