username,repo_name,stars,repo_url
amphp,amp,4000,https://github.com/amphp/amp
danog,MadelineProto,2500,https://github.com/danog/MadelineProto
unreal4u,telegram-api,765,https://github.com/unreal4u/telegram-api
amphp,parallel,697,https://github.com/amphp/parallel
amphp,http-client,670,https://github.com/amphp/http-client
amphp,byte-stream,349,https://github.com/amphp/byte-stream
php-service-bus,service-bus,346,https://github.com/php-service-bus/service-bus
amphp,mysql,327,https://github.com/amphp/mysql
amphp,parallel-functions,248,https://github.com/amphp/parallel-functions
amphp,process,219,https://github.com/amphp/process
amphp,socket,201,https://github.com/amphp/socket
xtrime-ru,TelegramRSS,195,https://github.com/xtrime-ru/TelegramRSS
amphp,sync,147,https://github.com/amphp/sync
amphp,redis,141,https://github.com/amphp/redis
amphp,dns,142,https://github.com/amphp/dns
amphp,websocket-client,126,https://github.com/amphp/websocket-client
kelunik,acme,122,https://github.com/kelunik/acme
amphp,websocket-server,102,https://github.com/amphp/websocket-server
amphp,serialization,101,https://github.com/amphp/serialization
PeeHaa,mailgrab,92,https://github.com/PeeHaa/mailgrab
