username,repo_name,stars,repo_url
sindresorhus,awesome,274000,https://github.com/sindresorhus/awesome
vinta,awesome-python,184000,https://github.com/vinta/awesome-python
awesome-selfhosted,awesome-selfhosted,153000,https://github.com/awesome-selfhosted/awesome-selfhosted
avelino,awesome-go,110000,https://github.com/avelino/awesome-go
trimstray,the-book-of-secret-knowledge,110000,https://github.com/trimstray/the-book-of-secret-knowledge
papers-we-love,papers-we-love,77200,https://github.com/papers-we-love/papers-we-love
521xueweihan,HelloGitHub,76800,https://github.com/521xueweihan/HelloGitHub
Hack-with-Github,Awesome-Hacking,70300,https://github.com/Hack-with-Github/Awesome-Hacking
jaywcjlove,awesome-mac,64400,https://github.com/jaywcjlove/awesome-mac
enaqx,awesome-react,58800,https://github.com/enaqx/awesome-react
DopplerHQ,awesome-interview-questions,58400,https://github.com/DopplerHQ/awesome-interview-questions
MunGell,awesome-for-beginners,57700,https://github.com/MunGell/awesome-for-beginners
sindresorhus,awesome-nodejs,53200,https://github.com/sindresorhus/awesome-nodejs
fffaraz,awesome-cpp,49800,https://github.com/fffaraz/awesome-cpp
prakhar1989,awesome-courses,49700,https://github.com/prakhar1989/awesome-courses
Solido,awesome-flutter,48900,https://github.com/Solido/awesome-flutter
binhnguyennus,awesome-scalability,48800,https://github.com/binhnguyennus/awesome-scalability
wasabeef,awesome-android-ui,47600,https://github.com/wasabeef/awesome-android-ui
vsouza,awesome-ios,44200,https://github.com/vsouza/awesome-ios
tiimgreen,github-cheat-sheet,42900,https://github.com/tiimgreen/github-cheat-sheet
