username,repo_name,stars,repo_url
jlevy,the-art-of-command-line,140000,https://github.com/jlevy/the-art-of-command-line
nvm-sh,nvm,70900,https://github.com/nvm-sh/nvm
junegunn,fzf,54900,https://github.com/junegunn/fzf
google,zx,38800,https://github.com/google/zx
starship,starship,37000,https://github.com/starship/starship
dylanaraps,pure-bash-bible,34900,https://github.com/dylanaraps/pure-bash-bible
LeCoupa,awesome-cheatsheets,34800,https://github.com/LeCoupa/awesome-cheatsheets
acmesh-official,acme.sh,33500,https://github.com/acmesh-official/acme.sh
koalaman,shellcheck,33400,https://github.com/koalaman/shellcheck
mathiasbynens,dotfiles,29400,https://github.com/mathiasbynens/dotfiles
alebcay,awesome-shell,28900,https://github.com/alebcay/awesome-shell
jaywcjlove,linux-command,25400,https://github.com/jaywcjlove/linux-command
withfig,autocomplete,23200,https://github.com/withfig/autocomplete
dylanaraps,neofetch,19000,https://github.com/dylanaraps/neofetch
asdf-vm,asdf,18800,https://github.com/asdf-vm/asdf
Nyr,openvpn-install,17700,https://github.com/Nyr/openvpn-install
kingToolbox,WindTerm,17200,https://github.com/kingToolbox/WindTerm
warpdotdev,Warp,15500,https://github.com/warpdotdev/Warp
rbenv,rbenv,15400,https://github.com/rbenv/rbenv
charmbracelet,gum,14900,https://github.com/charmbracelet/gum
