username,repo_name,stars,repo_url
ccxt,ccxt,29300,https://github.com/ccxt/ccxt
discordjs,discord.js,24100,https://github.com/discordjs/discord.js
python-telegram-bot,python-telegram-bot,23300,https://github.com/python-telegram-bot/python-telegram-bot
wechaty,wechaty,17400,https://github.com/wechaty/wechaty
RasaHQ,rasa,17100,https://github.com/RasaHQ/rasa
hubotio,hubot,16500,https://github.com/hubotio/hubot
InstaPy,InstaPy,15800,https://github.com/InstaPy/InstaPy
leon-ai,leon,13700,https://github.com/leon-ai/leon
gunthercox,ChatterBot,13600,https://github.com/gunthercox/ChatterBot
Rapptz,discord.py,13600,https://github.com/Rapptz/discord.py
tgbot-collection,YYeTsBot,13200,https://github.com/tgbot-collection/YYeTsBot
pedroslopez,whatsapp-web.js,12200,https://github.com/pedroslopez/whatsapp-web.js
howdyai,botkit,11200,https://github.com/howdyai/botkit
lss233,chatgpt-mirai-qq-bot,9800,https://github.com/lss233/chatgpt-mirai-qq-bot
Mrs4s,go-cqhttp,9800,https://github.com/Mrs4s/go-cqhttp
sfyc23,EverydayWechat,9600,https://github.com/sfyc23/EverydayWechat
microsoft,ailab,7500,https://github.com/microsoft/ailab
yagop,node-telegram-bot-api,7500,https://github.com/yagop/node-telegram-bot-api
microsoft,botframework-sdk,7200,https://github.com/microsoft/botframework-sdk
telegraf,telegraf,7100,https://github.com/telegraf/telegraf
