username,repo_name,stars,repo_url
CyC2018,CS-Notes,168000,https://github.com/CyC2018/CS-Notes
practical-tutorials,project-based-learning,119000,https://github.com/practical-tutorials/project-based-learning
azl397985856,leetcode,52700,https://github.com/azl397985856/leetcode
fffaraz,awesome-cpp,49800,https://github.com/fffaraz/awesome-cpp
youngyangyang04,leetcode-master,42800,https://github.com/youngyangyang04/leetcode-master
x64dbg,x64dbg,41800,https://github.com/x64dbg/x64dbg
Light-City,CPlusPlusThings,33700,https://github.com/Light-City/CPlusPlusThings
carbon-language,carbon-lang,31400,https://github.com/carbon-language/carbon-lang
yuzu-emu,yuzu,31200,https://github.com/yuzu-emu/yuzu
huihut,interview,30800,https://github.com/huihut/interview
CMU-Perceptual-Computing-Lab,openpose,28400,https://github.com/CMU-Perceptual-Computing-Lab/openpose
microsoft,calculator,27900,https://github.com/microsoft/calculator
TheAlgorithms,C-Plus-Plus,26400,https://github.com/TheAlgorithms/C-Plus-Plus
doocs,leetcode,24800,https://github.com/doocs/leetcode
changkun,modern-cpp-tutorial,21900,https://github.com/changkun/modern-cpp-tutorial
dragonflydb,dragonfly,21400,https://github.com/dragonflydb/dragonfly
ethereum,solidity,21100,https://github.com/ethereum/solidity
gabime,spdlog,20400,https://github.com/gabime/spdlog
microsoft,vcpkg,19900,https://github.com/microsoft/vcpkg
ssloy,tinyrenderer,18100,https://github.com/ssloy/tinyrenderer
