username,repo_name,stars,repo_url
ovity,octotree,22500,https://github.com/ovity/octotree
gitpod-io,gitpod,11600,https://github.com/gitpod-io/gitpod
reviewdog,reviewdog,6800,https://github.com/reviewdog/reviewdog
danger,danger,5200,https://github.com/danger/danger
danger,danger-js,5000,https://github.com/danger/danger-js
joho,awesome-code-review,4100,https://github.com/joho/awesome-code-review
Codium-ai,pr-agent,2400,https://github.com/Codium-ai/pr-agent
ajinabraham,nodejsscan,2200,https://github.com/ajinabraham/nodejsscan
microsoft,vscode-pull-request-github,2100,https://github.com/microsoft/vscode-pull-request-github
houndci,hound,1900,https://github.com/houndci/hound
crev-dev,cargo-crev,1900,https://github.com/crev-dev/cargo-crev
mbj,mutant,1900,https://github.com/mbj/mutant
reviewboard,reviewboard,1500,https://github.com/reviewboard/reviewboard
Tencent,CodeAnalysis,1500,https://github.com/Tencent/CodeAnalysis
ryanmcdermott,code-review-tips,1400,https://github.com/ryanmcdermott/code-review-tips
bit4woo,python_sec,1200,https://github.com/bit4woo/python_sec
code-review-checklists,java-concurrency,1200,https://github.com/code-review-checklists/java-concurrency
coderabbitai,ai-pr-reviewer,971,https://github.com/coderabbitai/ai-pr-reviewer
TeamCodeStream,codestream,908,https://github.com/TeamCodeStream/codestream
mattzcarey,code-review-gpt,888,https://github.com/mattzcarey/code-review-gpt
