username,repo_name,stars,repo_url
flutter,flutter,158000,https://github.com/flutter/flutter
facebook,react-native,113000,https://github.com/facebook/react-native
justjavac,free-programming-books-zh_CN,105000,https://github.com/justjavac/free-programming-books-zh_CN
Genymobile,scrcpy,92600,https://github.com/Genymobile/scrcpy
Hack-with-Github,Awesome-Hacking,70300,https://github.com/Hack-with-Github/Awesome-Hacking
Solido,awesome-flutter,48900,https://github.com/Solido/awesome-flutter
google,material-design-icons,48800,https://github.com/google/material-design-icons
wasabeef,awesome-android-ui,47600,https://github.com/wasabeef/awesome-android-ui
square,okhttp,44600,https://github.com/square/okhttp
android,architecture-samples,43200,https://github.com/android/architecture-samples
square,retrofit,42100,https://github.com/square/retrofit
laurent22,joplin,39100,https://github.com/laurent22/joplin
dcloudio,uni-app,38700,https://github.com/dcloudio/uni-app
fastlane,fastlane,37700,https://github.com/fastlane/fastlane
appwrite,appwrite,37400,https://github.com/appwrite/appwrite
PhilJay,MPAndroidChart,36900,https://github.com/PhilJay/MPAndroidChart
skylot,jadx,36700,https://github.com/skylot/jadx
airbnb,lottie-android,34300,https://github.com/airbnb/lottie-android
shadowsocks,shadowsocks-android,34000,https://github.com/shadowsocks/shadowsocks-android
bumptech,glide,34000,https://github.com/bumptech/glide
